category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.sl_SI,name.hr_HR,name.bs_BA,name.sr_RS,meta_title.sl_SI,meta_title.hr_HR,meta_title.bs_BA,meta_title.sr_RS,meta_description.sl_SI,meta_description.hr_HR,meta_description.bs_BA,meta_description.sr_RS,meta_keywords.sl_SI,meta_keywords.hr_HR,meta_keywords.bs_BA,meta_keywords.sr_RS,category_image_name.sl_SI,category_image_name.hr_HR,category_image_name.bs_BA,category_image_name.sr_RS,name.sr_ME,meta_title.sr_ME,meta_description.sr_ME,meta_keywords.sr_ME,category_image_name.sr_ME
SUB_30005,MC_30001,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,1,1,1,1,0,1,,Catalog (default),,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,Liebe & Verhütung,,,,,Love & Contraception,Love & Contraception,Love & Contraception,Love & Contraception,
SUB_30006,MC_30001,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,1,1,1,1,0,1,,Catalog (default),,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,Medizin & Nahrungsergänzung,,,,,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,Medicine & Food Supplements,
SUB_30007,MC_30001,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,1,1,1,1,0,1,,Catalog (default),,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,Sanitätshaus & Klinikbedarf,,,,,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,Medical supplies & clinic supplies,
MC_40001,shop,"Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music",1,1,1,1,0,1,,Catalog (default),,"Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik","Bücher, Filme, Serien & Musik",,,,,"Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music",
SUB_40001,MC_40001,Books,Books,Books,Books,1,1,1,1,0,1,,Catalog (default),,Bücher,Bücher,Bücher,Bücher,Bücher,Bücher,Bücher,Bücher,Bücher,Bücher,Bücher,Bücher,Bücher,Bücher,Bücher,Bücher,,,,,Books,Books,Books,Books,
SUB_40002,MC_40001,Audio Books,Audio Books,Audio Books,Audio Books,1,1,1,1,0,1,,Catalog (default),,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,Hörbücher,,,,,Audio Books,Audio Books,Audio Books,Audio Books,
SUB_40003,MC_40001,Calendar,Calendar,Calendar,Calendar,1,1,1,1,0,1,,Catalog (default),,Kalender,Kalender,Kalender,Kalender,Kalender,Kalender,Kalender,Kalender,Kalender,Kalender,Kalender,Kalender,Kalender,Kalender,Kalender,Kalender,,,,,Calendar,Calendar,Calendar,Calendar,
SUB_40004,MC_40001,Movies,Movies,Movies,Movies,1,1,1,1,0,1,,Catalog (default),,Filme,Filme,Filme,Filme,Filme,Filme,Filme,Filme,Filme,Filme,Filme,Filme,Filme,Filme,Filme,Filme,,,,,Movies,Movies,Movies,Movies,
SUB_40005,MC_40001,TV Series,TV Series,TV Series,TV Series,1,1,1,1,0,1,,Catalog (default),,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,TV Serien,,,,,TV Series,TV Series,TV Series,TV Series,
SUB_40006,MC_40001,Music,Music,Music,Music,1,1,1,1,0,1,,Catalog (default),,Musik,Musik,Musik,Musik,Musik,Musik,Musik,Musik,Musik,Musik,Musik,Musik,Musik,Musik,Musik,Musik,,,,,Music,Music,Music,Music,
MC_50001,shop,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,1,1,1,1,0,1,,Catalog (default),,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,Bürobedarf & Schreibwaren,,,,,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,
SUB_50001,MC_50001,Office equipment,Office equipment,Office equipment,Office equipment,1,1,1,1,0,1,,Catalog (default),,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,Büroausstattung,,,,,Office equipment,Office equipment,Office equipment,Office equipment,
SUB_50002,MC_50001,Office organization,Office organization,Office organization,Office organization,1,1,1,1,0,1,,Catalog (default),,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,Büroorganisation,,,,,Office organization,Office organization,Office organization,Office organization,
SUB_50003,MC_50001,Gift Boxes & Gift Cards,Gift Boxes & Gift Cards,Gift Boxes & Gift Cards,Gift Boxes & Gift Cards,1,1,1,1,0,1,,Catalog (default),,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,Geschenkverpackungen & Geschenkkarten,,,,,Gift Boxes & Gift Cards,Gift Boxes & Gift Cards,Gift Boxes & Gift Cards,Gift Boxes & Gift Cards,
SUB_50004,MC_50001,Painting & Handicraft supplies,Painting & Handicraft supplies,Painting & Handicraft supplies,Painting & Handicraft supplies,1,1,1,1,0,1,,Catalog (default),,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,Malbedarf & Bastelbedarf,,,,,Painting & Handicraft supplies,Painting & Handicraft supplies,Painting & Handicraft supplies,Painting & Handicraft supplies,
SUB_50005,MC_50001,Stationery,Stationery,Stationery,Stationery,1,1,1,1,0,1,,Catalog (default),,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,Papierwaren,,,,,Stationery,Stationery,Stationery,Stationery,
SUB_50006,MC_50001,Presentation Accessories,Presentation Accessories,Presentation Accessories,Presentation Accessories,1,1,1,1,0,1,,Catalog (default),,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,Präsentationszubehör,,,,,Presentation Accessories,Presentation Accessories,Presentation Accessories,Presentation Accessories,
SUB_50007,MC_50001,"Scissors, Staplers & Glue","Scissors, Staplers & Glue","Scissors, Staplers & Glue","Scissors, Staplers & Glue",1,1,1,1,0,1,,Catalog (default),,"Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber","Scheren, Hefter & Kleber",,,,,"Scissors, Staplers & Glue","Scissors, Staplers & Glue","Scissors, Staplers & Glue","Scissors, Staplers & Glue",
SUB_50008,MC_50001,Schreibwaren,Stationery,Stationery,Stationery,1,1,1,1,0,1,,Catalog (default),,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,Schreibwaren,,,,,Schreibwaren,Stationery,Stationery,Stationery,
SUB_50009,MC_50001,School supplies,School supplies,School supplies,School supplies,1,1,1,1,0,1,,Catalog (default),,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,Schulbedarf,,,,,School supplies,School supplies,School supplies,School supplies,
SUB_50010,MC_50001,Technical Drawing,Technical Drawing,Technical Drawing,Technical Drawing,1,1,1,1,0,1,,Catalog (default),,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,Technisches Zeichnen,,,,,Technical Drawing,Technical Drawing,Technical Drawing,Technical Drawing,
SUB_50011,MC_50001,Packing & Shipping,Packing & Shipping,Packing & Shipping,Packing & Shipping,1,1,1,1,0,1,,Catalog (default),,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,Verpackung & Versand,,,,,Packing & Shipping,Packing & Shipping,Packing & Shipping,Packing & Shipping,
MC_60001,shop,Electronics,Electronics,Electronics,Electronics,1,1,1,1,0,1,,Catalog (default),,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,Elektronik,,,,,Electronics,Electronics,Electronics,Electronics,
SUB_60001,MC_60001,Accumulators & Batteries,Accumulators & Batteries,Accumulators & Batteries,Accumulators & Batteries,1,1,1,1,0,1,,Catalog (default),,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,Akkus & Batterien,,,,,Accumulators & Batteries,Accumulators & Batteries,Accumulators & Batteries,Accumulators & Batteries,
SUB_60002,MC_60001,Computer,Computer,Computer,Computer,1,1,1,1,0,1,,Catalog (default),,Computer,Computer,Computer,Computer,Computer,Computer,Computer,Computer,Computer,Computer,Computer,Computer,Computer,Computer,Computer,Computer,,,,,Computer,Computer,Computer,Computer,
SUB_60002_01,SUB_60002,Notebook,Notebook,Notebook,Notebook,1,1,1,1,0,1,,Catalog (default),,Notebook,Notebook,Notebook,Notebook,Notebook,Notebook,Notebook,Notebook,Notebook,Notebook,Notebook,Notebook,Notebook,Notebook,Notebook,Notebook,,,,,Notebook,Notebook,Notebook,Notebook,
SUB_60002_02,SUB_60002,Tablet,Tablet,Tablet,Tablet,1,1,1,1,0,1,,Catalog (default),,Tablet,Tablet,Tablet,Tablet,Tablet,Tablet,Tablet,Tablet,Tablet,Tablet,Tablet,Tablet,Tablet,Tablet,Tablet,Tablet,,,,,Tablet,Tablet,Tablet,Tablet,
SUB_60002_03,SUB_60002,Monitors,Monitors,Monitors,Monitors,1,1,1,1,0,1,,Catalog (default),,Monitore,Monitore,Monitore,Monitore,Monitore,Monitore,Monitore,Monitore,Monitore,Monitore,Monitore,Monitore,Monitore,Monitore,Monitore,Monitore,,,,,Monitors,Monitors,Monitors,Monitors,
SUB_60002_04,SUB_60002,IT,IT,IT,IT,1,1,1,1,0,1,,Catalog (default),,IT,IT,IT,IT,IT,IT,IT,IT,IT,IT,IT,IT,IT,IT,IT,IT,,,,,IT,IT,IT,IT,
SUB_60002_05,SUB_60002,Computer Accessories,Computer Accessories,Computer Accessories,Computer Accessories,1,1,1,1,0,1,,Catalog (default),,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,Computer-Zubehör,,,,,Computer Accessories,Computer Accessories,Computer Accessories,Computer Accessories,
SUB_60003,MC_60001,Printer & Scanner,Printer & Scanner,Printer & Scanner,Printer & Scanner,1,1,1,1,0,1,,Catalog (default),,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,Drucker & Scanner,,,,,Printer & Scanner,Printer & Scanner,Printer & Scanner,Printer & Scanner,
SUB_60004,MC_60001,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,1,1,1,1,0,1,,Catalog (default),,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,,,,,E-Book-Reader,E-Book-Reader,E-Book-Reader,E-Book-Reader,
SUB_60005,MC_60001,Photography & Videography,Photography & Videography,Photography & Videography,Photography & Videography,1,1,1,1,0,1,,Catalog (default),,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,Fotografie & Videografie,,,,,Photography & Videography,Photography & Videography,Photography & Videography,Photography & Videography,
SUB_60006,MC_60001,Gaming & electronic toys,Gaming & electronic toys,Gaming & electronic toys,Gaming & electronic toys,1,1,1,1,0,1,,Catalog (default),,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,Gaming- & Elektrospielzeug,,,,,Gaming & electronic toys,Gaming & electronic toys,Gaming & electronic toys,Gaming & electronic toys,
SUB_60006_01,SUB_60006,Microsoft,Microsoft,Microsoft,Microsoft,1,1,1,1,0,1,,Catalog (default),,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,,,,,Microsoft,Microsoft,Microsoft,Microsoft,
SUB_60006_02,SUB_60006,Nintendo,Nintendo,Nintendo,Nintendo,1,1,1,1,0,1,,Catalog (default),,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,Nintendo,,,,,Nintendo,Nintendo,Nintendo,Nintendo,
SUB_60006_03,SUB_60006,Sony,Sony,Sony,Sony,1,1,1,1,0,1,,Catalog (default),,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,Sony,,,,,Sony,Sony,Sony,Sony,
SUB_60006_04,SUB_60006,Gaming Accessories,Gaming Accessories,Gaming Accessories,Gaming Accessories,1,1,1,1,0,1,,Catalog (default),,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,Gaming-Zubehör,,,,,Gaming Accessories,Gaming Accessories,Gaming Accessories,Gaming Accessories,
SUB_60007,MC_60001,Household Electronics,Household Electronics,Household Electronics,Household Electronics,1,1,1,1,0,1,,Catalog (default),,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,Haushaltselektronik,,,,,Household Electronics,Household Electronics,Household Electronics,Household Electronics,
SUB_60007_01,SUB_60007,Kitchen Appliances,Kitchen Appliances,Kitchen Appliances,Kitchen Appliances,1,1,1,1,0,1,,Catalog (default),,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,Küchengeräte,,,,,Kitchen Appliances,Kitchen Appliances,Kitchen Appliances,Kitchen Appliances,
SUB_60007_02,SUB_60007,Large electrical appliances,Large electrical appliances,Large electrical appliances,Large electrical appliances,1,1,1,1,0,1,,Catalog (default),,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,Elektrogroßgeräte,,,,,Large electrical appliances,Large electrical appliances,Large electrical appliances,Large electrical appliances,
SUB_60007_03,SUB_60007,Domestic Appliances,Domestic Appliances,Domestic Appliances,Domestic Appliances,1,1,1,1,0,1,,Catalog (default),,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,Haushaltsgeräte,,,,,Domestic Appliances,Domestic Appliances,Domestic Appliances,Domestic Appliances,
SUB_60007_04,SUB_60007,Making Coffee,Making Coffee,Making Coffee,Making Coffee,1,1,1,1,0,1,,Catalog (default),,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,Kaffeezubereitung,,,,,Making Coffee,Making Coffee,Making Coffee,Making Coffee,
SUB_60008,MC_60001,"HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio",1,1,1,1,0,1,,Catalog (default),,"HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio",,,,,"HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio","HiFi, TV, Video & Audio",
SUB_60008_01,SUB_60008,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,1,1,1,1,0,1,,Catalog (default),,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,,,,,Hifi & Audio,Hifi & Audio,Hifi & Audio,Hifi & Audio,
SUB_60008_02,SUB_60008,TV & Sat,TV & Sat,TV & Sat,TV & Sat,1,1,1,1,0,1,,Catalog (default),,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,TV & Sat,,,,,TV & Sat,TV & Sat,TV & Sat,TV & Sat,
SUB_60008_03,SUB_60008,Car Hifi,Car Hifi,Car Hifi,Car Hifi,1,1,1,1,0,1,,Catalog (default),,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,Car Hifi,,,,,Car Hifi,Car Hifi,Car Hifi,Car Hifi,
SUB_60008_04,SUB_60008,Audio accessories,Audio accessories,Audio accessories,Audio accessories,1,1,1,1,0,1,,Catalog (default),,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,Audio-Zubehör,,,,,Audio accessories,Audio accessories,Audio accessories,Audio accessories,
SUB_60009,MC_60001,Telecommunications & Navigation,Telecommunications & Navigation,Telecommunications & Navigation,Telecommunications & Navigation,1,1,1,1,0,1,,Catalog (default),,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,Telekommunikation & Navigation,,,,,Telecommunications & Navigation,Telecommunications & Navigation,Telecommunications & Navigation,Telecommunications & Navigation,
SUB_60009_01,SUB_60009,Smartphones,Smartphones,Smartphones,Smartphones,1,1,1,1,0,1,,Catalog (default),,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,Smartphones,,,,,Smartphones,Smartphones,Smartphones,Smartphones,
SUB_60009_02,SUB_60009,Smartphone Accessories,Smartphone Accessories,Smartphone Accessories,Smartphone Accessories,1,1,1,1,0,1,,Catalog (default),,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,Smartphone Zubehör,,,,,Smartphone Accessories,Smartphone Accessories,Smartphone Accessories,Smartphone Accessories,
SUB_60009_03,SUB_60009,Navigation,Navigation,Navigation,Navigation,1,1,1,1,0,1,,Catalog (default),,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,,,,,Navigation,Navigation,Navigation,Navigation,
SUB_60009_04,SUB_60009,Smartwatch,Smartwatch,Smartwatch,Smartwatch,1,1,1,1,0,1,,Catalog (default),,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,Smartwatch,,,,,Smartwatch,Smartwatch,Smartwatch,Smartwatch,
